dev_id,datetime,battery,batteryDiff,humidity,humidityDiff,temperature,temperatureDiff
r712-313f,2023-10-11 11:00:00,3.1,0.0,87.49,1.519999999999996,16.27,-0.2199999999999988
r712-313f,2023-10-11 12:00:00,3.1,0.0,89.07,1.5799999999999983,15.9,-0.3699999999999992
r712-313f,2023-10-11 13:00:00,3.1,0.0,89.83,0.7600000000000051,15.62,-0.2800000000000011
r712-313f,2023-10-11 14:00:00,3.1,0.0,90.35,0.519999999999996,15.21,-0.4099999999999983
r712-313f,2023-10-11 15:00:00,3.1,0.0,91.54,1.190000000000012,15.06,-0.1500000000000003
r712-313f,2023-10-11 16:00:00,3.1,0.0,92.05,0.5099999999999909,14.93,-0.1300000000000007
r712-313f,2023-10-11 17:00:00,3.1,0.0,92.52,0.4699999999999988,14.78,-0.1500000000000003
r712-313f,2023-10-11 18:00:00,3.1,0.0,93.2,0.6800000000000068,14.7,-0.08
r712-313f,2023-10-11 20:00:00,3.1,0.0,93.88,0.6799999999999926,14.72,0.0200000000000013
r712-313f,2023-10-11 21:00:00,3.1,0.0,94.01,0.1300000000000096,15.65,0.9299999999999996
r712-313f,2023-10-12 02:00:00,3.1,0.0,77.29,-16.72,21.12,5.470000000000001
r712-313f,2023-10-12 04:00:00,3.1,0.0,74.7,-2.5900000000000034,21.62,0.5
r712-313f,2023-10-12 05:00:00,3.1,0.0,76.26,1.5600000000000025,20.83,-0.7900000000000027
r712-313f,2023-10-12 06:00:00,3.1,0.0,78.97,2.7099999999999937,19.76,-1.0699999999999967
r712-313f,2023-10-12 09:00:00,3.1,0.0,83.26,4.290000000000006,17.41,-2.3500000000000014
r712-313f,2023-10-12 10:00:00,3.1,0.0,84.6,1.3399999999999892,17.08,-0.3300000000000018
r712-313f,2023-10-12 11:00:00,3.1,0.0,86.44,1.8400000000000036,16.85,-0.2299999999999968
r712-313f,2023-10-12 12:00:00,3.1,0.0,88.14,1.7000000000000028,16.73,-0.120000000000001
r712-313f,2023-10-12 14:00:00,3.1,0.0,89.24,1.0999999999999943,16.31,-0.4200000000000017
r712-313f,2023-10-12 15:00:00,3.1,0.0,90.14,0.9000000000000057,16.24,-0.0700000000000002
r712-313f,2023-10-12 16:00:00,3.1,0.0,89.98,-0.1599999999999966,16.03,-0.2099999999999973
r712-313f,2023-10-12 18:00:00,3.1,0.0,90.14,0.1599999999999966,15.89,-0.1400000000000005
r712-313f,2023-10-13 00:00:00,3.1,0.0,74.66,-15.480000000000004,20.71,4.82
r712-313f,2023-10-13 01:00:00,3.1,0.0,68.18,-6.47999999999999,22.47,1.759999999999998
r712-313f,2023-10-13 03:00:00,3.1,0.0,60.57,-7.6100000000000065,24.25,1.7800000000000011
r712-313f,2023-10-13 04:00:00,3.1,0.0,60.79,0.2199999999999988,24.31,0.0599999999999987
r712-313f,2023-10-13 05:00:00,3.1,0.0,58.33,-2.460000000000001,24.11,-0.1999999999999993
r712-313f,2023-10-13 06:00:00,3.1,0.0,59.57,1.240000000000002,23.07,-1.0399999999999991
